"InteractionTerm","PValue","DependentName"
"score_mode",6.97610544389827e-05,"rank"
"ensemble",4.00130915707054e-52,"rank"
"use_diff",5.9277760365671e-22,"rank"
"adddel",1.21392210347429e-05,"rank"
"score_mode:ensemble",0.00147810899243543,"rank"
"score_mode:use_diff",6.15416144378866e-08,"rank"
"ensemble:use_diff",0.00125793942798825,"rank"
"score_mode:adddel",5.77437823130585e-11,"rank"
"ensemble:adddel",0.000141928705181361,"rank"
"use_diff:adddel",7.20531122597515e-08,"rank"
"score_mode:ensemble:use_diff",2.38867953794177e-10,"rank"
"score_mode:ensemble:adddel",2.28374665003073e-11,"rank"
"score_mode:use_diff:adddel",5.84997005055638e-06,"rank"
"ensemble:use_diff:adddel",0.0442503356694369,"rank"
"score_mode:ensemble:use_diff:adddel",3.69934606893502e-08,"rank"
"score_mode",6.77667745263623e-159,"num_iters"
"ensemble",5.88931471082788e-115,"num_iters"
"use_diff",3.44979087384032e-25,"num_iters"
"adddel",6.77079412311554e-153,"num_iters"
"score_mode:ensemble",1.28198152613734e-164,"num_iters"
"score_mode:use_diff",1.48903552199521e-49,"num_iters"
"ensemble:use_diff",4.05025933499817e-33,"num_iters"
"score_mode:adddel",4.15254163308352e-75,"num_iters"
"ensemble:adddel",2.70670545921009e-98,"num_iters"
"use_diff:adddel",1.68088356813616e-41,"num_iters"
"score_mode:ensemble:use_diff",9.14101516364005e-83,"num_iters"
"score_mode:ensemble:adddel",3.9997530318552e-126,"num_iters"
"score_mode:use_diff:adddel",8.37695128415801e-56,"num_iters"
"ensemble:use_diff:adddel",3.20891419277722e-50,"num_iters"
"score_mode:ensemble:use_diff:adddel",8.73529839809402e-117,"num_iters"
