"p.value","setting_1","setting_2","metric"
1,"both,('add', 0.1),True,True,add","(both,('add', 0.1),True,True,all-sep)","rank"
1,"both,('add', 0.1),True,True,add","(both,('add', 0.1),True,True,all-uni)","rank"
1,"both,('add', 0.1),True,True,add","both,('add', 0.1),True,True,del","rank"
0.898146519741735,"both,('add', 0.1),True,True,add","both,('add', 0.2),True,True,add","rank"
0.956814573878708,"both,('add', 0.1),True,True,add","(both,('add', 0.2),True,True,all-sep)","rank"
0.964881215157529,"both,('add', 0.1),True,True,add","(both,('add', 0.2),True,True,all-uni)","rank"
0.89864503240955,"both,('add', 0.1),True,True,add","both,('add', 0.2),True,True,del","rank"
0.251062749006737,"both,('add', 0.1),True,True,add","both,('add', 0.3),True,True,add","rank"
0.451683498579838,"both,('add', 0.1),True,True,add","(both,('add', 0.3),True,True,all-sep)","rank"
0.389496562645945,"both,('add', 0.1),True,True,add","(both,('add', 0.3),True,True,all-uni)","rank"
0.251062749006726,"both,('add', 0.1),True,True,add","both,('add', 0.3),True,True,del","rank"
0.366315713650789,"both,('add', 0.1),True,True,add","both,('add', 0.4),True,True,add","rank"
0.253693936440279,"both,('add', 0.1),True,True,add","(both,('add', 0.4),True,True,all-sep)","rank"
0.366315713650788,"both,('add', 0.1),True,True,add","(both,('add', 0.4),True,True,all-uni)","rank"
0.365245584174112,"both,('add', 0.1),True,True,add","both,('add', 0.4),True,True,del","rank"
0.862057045304589,"both,('add', 0.1),True,True,add","both,('add', 0.5),True,True,add","rank"
0.85215493521565,"both,('add', 0.1),True,True,add","(both,('add', 0.5),True,True,all-sep)","rank"
0.862057045304587,"both,('add', 0.1),True,True,add","(both,('add', 0.5),True,True,all-uni)","rank"
0.862057045304587,"both,('add', 0.1),True,True,add","both,('add', 0.5),True,True,del","rank"
0.9855386517063,"both,('add', 0.1),True,True,add","both,('add', 0.6),True,True,add","rank"
0.909468615394571,"both,('add', 0.1),True,True,add","(both,('add', 0.6),True,True,all-sep)","rank"
0.985538651706299,"both,('add', 0.1),True,True,add","(both,('add', 0.6),True,True,all-uni)","rank"
0.985538651706299,"both,('add', 0.1),True,True,add","both,('add', 0.6),True,True,del","rank"
0.996728575965093,"both,('add', 0.1),True,True,add","both,('add', 0.7),True,True,add","rank"
0.971746801892706,"both,('add', 0.1),True,True,add","(both,('add', 0.7),True,True,all-sep)","rank"
0.996728575965093,"both,('add', 0.1),True,True,add","(both,('add', 0.7),True,True,all-uni)","rank"
0.996728575965093,"both,('add', 0.1),True,True,add","both,('add', 0.7),True,True,del","rank"
0.994287910656771,"both,('add', 0.1),True,True,add","both,('add', 0.8),True,True,add","rank"
0.994326637621849,"both,('add', 0.1),True,True,add","(both,('add', 0.8),True,True,all-sep)","rank"
0.994287910656771,"both,('add', 0.1),True,True,add","(both,('add', 0.8),True,True,all-uni)","rank"
0.994287910656771,"both,('add', 0.1),True,True,add","both,('add', 0.8),True,True,del","rank"
