"p.value","setting_1","setting_2","metric"
1,"both,('add', 0.1),True,True,add","(both,('add', 0.1),True,True,all-sep)","rank"
1,"both,('add', 0.1),True,True,add","(both,('add', 0.1),True,True,all-uni)","rank"
1,"both,('add', 0.1),True,True,add","both,('add', 0.1),True,True,del","rank"
0.999999999210113,"both,('add', 0.1),True,True,add","both,('add', 0.2),True,True,add","rank"
0.999999999633945,"both,('add', 0.1),True,True,add","(both,('add', 0.2),True,True,all-sep)","rank"
0.999999999212801,"both,('add', 0.1),True,True,add","(both,('add', 0.2),True,True,all-uni)","rank"
0.999999897987137,"both,('add', 0.1),True,True,add","both,('add', 0.2),True,True,del","rank"
0.946864788676171,"both,('add', 0.1),True,True,add","both,('add', 0.3),True,True,add","rank"
0.998867663967774,"both,('add', 0.1),True,True,add","(both,('add', 0.3),True,True,all-sep)","rank"
0.952315300818957,"both,('add', 0.1),True,True,add","(both,('add', 0.3),True,True,all-uni)","rank"
0.864961089392493,"both,('add', 0.1),True,True,add","both,('add', 0.3),True,True,del","rank"
0.953795447734656,"both,('add', 0.1),True,True,add","both,('add', 0.4),True,True,add","rank"
0.983184392560359,"both,('add', 0.1),True,True,add","(both,('add', 0.4),True,True,all-sep)","rank"
0.958088002133185,"both,('add', 0.1),True,True,add","(both,('add', 0.4),True,True,all-uni)","rank"
0.817665476845108,"both,('add', 0.1),True,True,add","both,('add', 0.4),True,True,del","rank"
0.999515966664578,"both,('add', 0.1),True,True,add","both,('add', 0.5),True,True,add","rank"
0.999689844807211,"both,('add', 0.1),True,True,add","(both,('add', 0.5),True,True,all-sep)","rank"
0.999515966664578,"both,('add', 0.1),True,True,add","(both,('add', 0.5),True,True,all-uni)","rank"
0.999520265925581,"both,('add', 0.1),True,True,add","both,('add', 0.5),True,True,del","rank"
0.999898154586643,"both,('add', 0.1),True,True,add","both,('add', 0.6),True,True,add","rank"
0.999939992334835,"both,('add', 0.1),True,True,add","(both,('add', 0.6),True,True,all-sep)","rank"
0.998837032077597,"both,('add', 0.1),True,True,add","(both,('add', 0.6),True,True,all-uni)","rank"
0.999897235127594,"both,('add', 0.1),True,True,add","both,('add', 0.6),True,True,del","rank"
0.999671311042855,"both,('add', 0.1),True,True,add","both,('add', 0.7),True,True,add","rank"
0.991295867220815,"both,('add', 0.1),True,True,add","(both,('add', 0.7),True,True,all-sep)","rank"
0.99713086847445,"both,('add', 0.1),True,True,add","(both,('add', 0.7),True,True,all-uni)","rank"
0.999671311042855,"both,('add', 0.1),True,True,add","both,('add', 0.7),True,True,del","rank"
0.999922895351513,"both,('add', 0.1),True,True,add","both,('add', 0.8),True,True,add","rank"
0.999997784084775,"both,('add', 0.1),True,True,add","(both,('add', 0.8),True,True,all-sep)","rank"
0.9999365835484,"both,('add', 0.1),True,True,add","(both,('add', 0.8),True,True,all-uni)","rank"
0.999922895351513,"both,('add', 0.1),True,True,add","both,('add', 0.8),True,True,del","rank"
