"Test","contrast","estimate","SE","df","t.ratio","p.value","setting_1","setting_2"
"rank_both_True_True_True","add - del",31.1115384615385,5.62622275220392,387.000000000004,5.52973812658793,3.54671695052138e-07,"add","del"
"rank_both_True_True_True","(all-sep) - del",19.0884615384615,5.62622275220392,387.000000000004,3.39276676007614,0.00457986702177994,"(all-sep)","del"
"rank_both_True_True_True","(all-uni) - del",32.4153846153846,5.62622275220392,387.000000000004,5.76148262218854,1.02181336424251e-07,"(all-uni)","del"
"rank_rank_True_True_True","add - del",31.1115384615385,5.62622275220392,387.000000000004,5.52973812658793,3.54671695052138e-07,"add","del"
"rank_rank_True_True_True","(all-sep) - del",19.0884615384615,5.62622275220392,387.000000000004,3.39276676007614,0.00457986702177994,"(all-sep)","del"
"rank_rank_True_True_True","(all-uni) - del",32.4153846153846,5.62622275220392,387.000000000004,5.76148262218854,1.02181336424251e-07,"(all-uni)","del"
"rank_score_True_True_True","add - del",31.1115384615385,5.62622275220392,387.000000000004,5.52973812658793,3.54671695052138e-07,"add","del"
"rank_score_True_True_True","(all-sep) - del",19.0884615384615,5.62622275220392,387.000000000004,3.39276676007614,0.00457986702177994,"(all-sep)","del"
"rank_score_True_True_True","(all-uni) - del",32.4153846153846,5.62622275220392,387.000000000004,5.76148262218854,1.02181336424251e-07,"(all-uni)","del"
"num_iters_both_True_True_True","add - del",16.7807692307692,4.03793168741311,387.000000000004,4.15578333904896,0.000239603193725061,"add","del"
"num_iters_both_True_True_True","(all-sep) - del",12.4923076923077,4.03793168741311,387.000000000004,3.09373923567064,0.0127201730361092,"(all-sep)","del"
"num_iters_both_True_True_True","(all-uni) - del",15.9884615384615,4.03793168741311,387.000000000004,3.9595671190526,0.000536169302061548,"(all-uni)","del"
"num_iters_score_True_True_True","add - del",13.6153846153846,3.56444941780629,387.000000000004,3.81977214976558,0.000933254122612569,"add","del"
"num_iters_score_True_True_True","(all-uni) - del",12.7153846153846,3.56444941780629,387.000000000004,3.56727873647599,0.0024356953400341,"(all-uni)","del"
