is_addition,old_file_path,new_file_path,line_num,content
False,src/java/org/apache/commons/codec/language/bm/Lang.java,src/java/org/apache/commons/codec/language/bm/Lang.java,161,f (line.length() == 0)
True,src/java/org/apache/commons/codec/language/bm/Lang.java,src/java/org/apache/commons/codec/language/bm/Lang.java,161,if (line.length() == 0) {
False,src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,192,f (start == end)
True,src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,192,if (start == end) {
False,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,131,estBase32EmptyInputStream(Base32.MIME_CHUNK_SIZE);
True,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,131,testBase32EmptyInputStream(BaseNCodec.MIME_CHUNK_SIZE);
False,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,142,estBase32EmptyInputStream(Base32.PEM_CHUNK_SIZE);
True,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,142,testBase32EmptyInputStream(BaseNCodec.PEM_CHUNK_SIZE);
False,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,163,"estByChunk(encoded, decoded, Base32.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,163,"testByChunk(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,168,"estByChunk(encoded, decoded, Base32.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,168,"testByChunk(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,202,"estByteByByte(encoded, decoded, Base32.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,202,"testByteByByte(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,207,"estByteByByte(encoded, decoded, Base32.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32InputStreamTest.java,207,"testByteByByte(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,69,estBase32EmptyOutputStream(Base32.MIME_CHUNK_SIZE);
True,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,69,testBase32EmptyOutputStream(BaseNCodec.MIME_CHUNK_SIZE);
False,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,80,estBase32EmptyOutputStream(Base32.PEM_CHUNK_SIZE);
True,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,80,testBase32EmptyOutputStream(BaseNCodec.PEM_CHUNK_SIZE);
False,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,101,"estByChunk(encoded, decoded, Base32.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,101,"testByChunk(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,141,estBase64EmptyInputStream(Base64.MIME_CHUNK_SIZE);
True,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,141,testBase64EmptyInputStream(BaseNCodec.MIME_CHUNK_SIZE);
False,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,152,estBase64EmptyInputStream(Base64.PEM_CHUNK_SIZE);
True,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,152,testBase64EmptyInputStream(BaseNCodec.PEM_CHUNK_SIZE);
False,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,173,"estByChunk(encoded, decoded, Base64.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,173,"testByChunk(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,178,"estByChunk(encoded, decoded, Base64.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,178,"testByChunk(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,183,"estByChunk(encoded, decoded, Base64.PEM_CHUNK_SIZE, LF);"
True,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,183,"testByChunk(encoded, decoded, BaseNCodec.PEM_CHUNK_SIZE, LF);"
False,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,211,"estByteByByte(encoded, decoded, Base64.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,211,"testByteByByte(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,216,"estByteByByte(encoded, decoded, Base64.MIME_CHUNK_SIZE, CRLF);"
True,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,216,"testByteByByte(encoded, decoded, BaseNCodec.MIME_CHUNK_SIZE, CRLF);"
False,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,221,"estByteByByte(encoded, decoded, Base64.PEM_CHUNK_SIZE, LF);"
True,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,221,"testByteByByte(encoded, decoded, BaseNCodec.PEM_CHUNK_SIZE, LF);"
False,src/test/org/apache/commons/codec/binary/Base64OutputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64OutputStreamTest.java,75,estBase64EmptyOutputStream(Base64.MIME_CHUNK_SIZE);
True,src/test/org/apache/commons/codec/binary/Base64OutputStreamTest.java,src/test/org/apache/commons/codec/binary/Base64OutputStreamTest.java,75,testBase64EmptyOutputStream(BaseNCodec.MIME_CHUNK_SIZE);
