is_addition,old_file_path,new_file_path,line_num,content
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,2,* Licensed to the Apache Software Foundation (ASF) under one or more
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,3,* contributor license agreements.  See the NOTICE file distributed with
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,4,* this work for additional information regarding copyright ownership.
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,5,"* The ASF licenses this file to You under the Apache License, Version 2.0"
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,6,"* (the ""License""); you may not use this file except in compliance with"
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,7,* the License.  You may obtain a copy of the License at
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,9,*   http://www.apache.org/licenses/LICENSE-2.0
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,11,"* Unless required by applicable law or agreed to in writing, software"
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,12,"* distributed under the License is distributed on an ""AS IS"" BASIS,"
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,13,"* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,14,* See the License for the specific language governing permissions and
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,15,* limitations under the License.
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,19,package org.apache.commons.compress;
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,21,import java.io.File;
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,22,import java.io.FileInputStream;
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,24,import org.apache.commons.compress.archivers.tar.TarArchiveEntry;
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,25,import org.apache.commons.compress.archivers.tar.TarArchiveInputStream;
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,26,import org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream;
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,27,import org.apache.commons.compress.compressors.gzip.GzipCompressorInputStream;
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,30,public class ChainingTestCase extends AbstractTestCase {
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,32,public void testTarGzip() throws Exception {
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,33,"File file = new File(""src/test/resources/bla.tgz"");"
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,34,final TarArchiveInputStream is = new TarArchiveInputStream(new GzipCompressorInputStream(new FileInputStream(file)));
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,35,final TarArchiveEntry entry = (TarArchiveEntry)is.getNextEntry();
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,36,assertNotNull(entry);
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,37,"assertEquals(""test1.xml"", entry.getName());"
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,38,is.close();
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,41,public void testTarBzip2() throws Exception {
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,42,"File file = new File(""src/test/resources/bla.tar.bz2"");"
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,43,final TarArchiveInputStream is = new TarArchiveInputStream(new BZip2CompressorInputStream(new FileInputStream(file)));
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,44,final TarArchiveEntry entry = (TarArchiveEntry)is.getNextEntry();
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,45,assertNotNull(entry);
True,src/test/java/org/apache/commons/compress/ChainingTestCase.java,src/test/java/org/apache/commons/compress/ChainingTestCase.java,46,"assertEquals(""test1.xml"", entry.getName());"
