is_addition,old_file_path,new_file_path,line_num,content
False,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,1324, Index in fmap[] of original string after sorting.
True,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,1324,* Index of original line in Burrows-Wheeler table.
True,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,1326,* <p>This is the index in fmap that points to the last byte
True,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,1327,* of the original data.</p>
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,2,* Licensed to the Apache Software Foundation (ASF) under one
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,3,* or more contributor license agreements.  See the NOTICE file
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,4,* distributed with this work for additional information
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,5,* regarding copyright ownership.  The ASF licenses this file
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,6,"* to you under the Apache License, Version 2.0 (the"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,7,"* ""License""); you may not use this file except in compliance"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,8,* with the License.  You may obtain a copy of the License at
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,10,* http://www.apache.org/licenses/LICENSE-2.0
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,12,"* Unless required by applicable law or agreed to in writing,"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,13,* software distributed under the License is distributed on an
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,14,"* ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,15,"* KIND, either express or implied.  See the License for the"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,16,* specific language governing permissions and limitations
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,17,* under the License.
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,19,package org.apache.commons.compress.compressors.bzip2;
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,21,import org.junit.Test;
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,23,import static org.junit.Assert.assertArrayEquals;
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,24,import static org.junit.Assert.assertEquals;
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,25,import static org.junit.Assert.assertFalse;
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,27,public class BlockSortTest {
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,29,"private static final byte[] FIXTURE = { 0, 1, (byte) 252, (byte) 253, (byte) 255,"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,30,"(byte) 254, 3, 2, (byte) 128 };"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,33,Burrows-Wheeler transform of fixture the manual way:
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,35,* build the matrix
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,37,"0, 1, 252, 253, 255, 254, 3, 2, 128"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,38,"1, 252, 253, 255, 254, 3, 2, 128, 0"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,39,"252, 253, 255, 254, 3, 2, 128, 0, 1"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,40,"253, 255, 254, 3, 2, 128, 0, 1, 252"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,41,"255, 254, 3, 2, 128, 0, 1, 252, 253"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,42,"254, 3, 2, 128, 0, 1, 252, 253, 255"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,43,"3, 2, 128, 0, 1, 252, 253, 255, 254"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,44,"2, 128, 0, 1, 252, 253, 255, 254, 3"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,45,"128, 0, 1, 252, 253, 255, 254, 3, 2"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,47,* sort it
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,49,"0, 1, 252, 253, 255, 254, 3, 2, 128"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,50,"1, 252, 253, 255, 254, 3, 2, 128, 0"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,51,"2, 128, 0, 1, 252, 253, 255, 254, 3"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,52,"3, 2, 128, 0, 1, 252, 253, 255, 254"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,53,"128, 0, 1, 252, 253, 255, 254, 3, 2"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,54,"252, 253, 255, 254, 3, 2, 128, 0, 1"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,55,"253, 255, 254, 3, 2, 128, 0, 1, 252"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,56,"254, 3, 2, 128, 0, 1, 252, 253, 255"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,57,"255, 254, 3, 2, 128, 0, 1, 252, 253"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,59,* grab last column
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,61,"128, 0, 3, 254, 2, 1, 252, 255, 253"
True,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,src/test/java/org/apache/commons/compress/compressors/bzip2/BlockSortTest.java,63,and the original line has been 0
