is_addition,old_file_path,new_file_path,line_num,content
True,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,28,import java.net.URISyntaxException;
False,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,51,"rivate static final File ARCDIR = new File(CLASSLOADER.getResource(""archives"").getFile());"
True,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,52,private static final File ARCDIR;
True,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,55,static {
True,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,56,try {
True,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,57,"ARCDIR = new File(CLASSLOADER.getResource(""archives"").toURI().getPath());"
True,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,58,} catch (URISyntaxException e) {
True,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,src/test/java/org/apache/commons/compress/ArchiveReadTest.java,59,throw new RuntimeException(e);
True,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,30,import java.net.URISyntaxException;
False,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,36,mport org.apache.commons.compress.archivers.ArchiveEntry;
False,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,58,"rivate static final File ARCDIR = new File(CLASSLOADER.getResource(""longpath"").getFile());"
True,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,57,private static File ARCDIR;
True,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,60,static {
True,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,61,try {
True,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,62,"ARCDIR = new File(CLASSLOADER.getResource(""longpath"").toURI().getPath());"
True,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,63,} catch (URISyntaxException e) {
True,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,src/test/java/org/apache/commons/compress/archivers/LongPathTest.java,64,throw new RuntimeException(e);
True,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,30,import java.net.URISyntaxException;
False,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,36,mport org.apache.commons.compress.archivers.ArchiveEntry;
False,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,58,"rivate static final File ARCDIR = new File(CLASSLOADER.getResource(""longsymlink"").getFile());"
True,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,57,private static final File ARCDIR;
True,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,60,static {
True,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,61,try {
True,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,62,"ARCDIR = new File(CLASSLOADER.getResource(""longsymlink"").toURI().getPath());"
True,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,63,} catch (URISyntaxException e) {
True,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,src/test/java/org/apache/commons/compress/archivers/LongSymLinkTest.java,64,throw new RuntimeException(e);
