is_addition,old_file_path,new_file_path,line_num,content
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,2,* Copyright (C) 2010 Google Inc.
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,4,"* Licensed under the Apache License, Version 2.0 (the ""License"");"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,5,* you may not use this file except in compliance with the License.
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,6,* You may obtain a copy of the License at
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,8,* http://www.apache.org/licenses/LICENSE-2.0
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,10,"* Unless required by applicable law or agreed to in writing, software"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,11,"* distributed under the License is distributed on an ""AS IS"" BASIS,"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,12,"* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,13,* See the License for the specific language governing permissions and
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,14,* limitations under the License.
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,16,package com.google.gson.webservice.definition.rest;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,18,import java.lang.reflect.Type;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,19,import java.util.HashMap;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,20,import java.util.Map;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,22,import com.google.gson.JsonDeserializationContext;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,23,import com.google.gson.JsonDeserializer;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,24,import com.google.gson.JsonElement;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,25,import com.google.gson.JsonParseException;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,26,import com.google.gson.JsonSerializationContext;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,27,import com.google.gson.JsonSerializer;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,28,import com.google.gson.reflect.TypeToken;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,31,* Metadata associated with a repository for a rest resource
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,33,* @author inder
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,35,* @param <R> The resource
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,37,public final class MetaData<R extends RestResource<R>> {
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,39,"private final Map<String, String> map;"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,41,public static <RS extends RestResource<RS>> MetaData<RS> create() {
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,42,return new MetaData<RS>();
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,45,"@SuppressWarnings({""unchecked"", ""rawtypes""})"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,46,"private static MetaData<?> createTypeUnsafe(Map<String, String> values) {"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,47,return new MetaData(values);
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,50,public MetaData() {
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,51,"this(new HashMap<String, String>());"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,54,"private MetaData(Map<String, String> values) {"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,55,this.map = values;
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,58,public String getString(String key) {
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,59,return (String) map.get(key);
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,62,"public void putString(String key, String value) {"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,63,"map.put(key, value);"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,66,public boolean getBoolean(String key) {
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,67,String value = map.get(key);
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,68,return value == null ? false : Boolean.parseBoolean(value);
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,71,"public void putBoolean(String key, boolean value) {"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,72,"map.put(key, String.valueOf(value));"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,75,public void remove(String key) {
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,76,map.remove(key);
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,80,* Gson Type adapter for {@link MetaData}. The serialized representation on wire is just a
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,81,"* Map<String, String>"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,83,"public static final class GsonTypeAdapter implements JsonSerializer<MetaData<?>>,"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,84,JsonDeserializer<MetaData<?>>{
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,86,"private static final Type MAP_TYPE = new TypeToken<Map<String, String>>(){}.getType();"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,88,@Override
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,89,"public MetaData<?> deserialize(JsonElement json, Type typeOfT,"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,90,JsonDeserializationContext context) throws JsonParseException {
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,91,"Map<String, String> map = context.deserialize(json, MAP_TYPE);"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,92,return MetaData.createTypeUnsafe(map);
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,95,@Override
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,96,"public JsonElement serialize(MetaData<?> src, Type typeOfSrc,"
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,97,JsonSerializationContext context) {
True,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,wsdef/src/main/java/com/google/gson/webservice/definition/rest/MetaData.java,98,"return context.serialize(src.map, MAP_TYPE);"
True,wsdef/src/main/java/com/google/gson/webservice/typeadapters/IdTypeAdapter.java,wsdef/src/main/java/com/google/gson/webservice/typeadapters/IdTypeAdapter.java,2,* Copyright (C) 2010 Google Inc.
True,wsdef/src/main/java/com/google/gson/webservice/typeadapters/IdTypeAdapter.java,wsdef/src/main/java/com/google/gson/webservice/typeadapters/IdTypeAdapter.java,4,"* Licensed under the Apache License, Version 2.0 (the ""License"");"
True,wsdef/src/main/java/com/google/gson/webservice/typeadapters/IdTypeAdapter.java,wsdef/src/main/java/com/google/gson/webservice/typeadapters/IdTypeAdapter.java,5,* you may not use this file except in compliance with the License.
True,wsdef/src/main/java/com/google/gson/webservice/typeadapters/IdTypeAdapter.java,wsdef/src/main/java/com/google/gson/webservice/typeadapters/IdTypeAdapter.java,6,* You may obtain a copy of the License at
