is_addition,old_file_path,new_file_path,line_num,content
True,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,42,state = HtmlTreeBuilderState.Initial;
False,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,5,mport org.jsoup.nodes.Comment;
False,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,6,mport org.jsoup.nodes.Document;
False,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,7,mport org.jsoup.nodes.Element;
False,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,8,mport org.jsoup.nodes.TextNode;
True,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,5,import org.jsoup.helper.StringUtil;
True,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,6,import org.jsoup.nodes.*;
True,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,695,@Test public void handleNullContextInParseFragment() {
True,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,696,"String html = ""<ol><li>One</li></ol><p>Two</p>"";"
True,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,697,"List<Node> nodes = Parser.parseFragment(html, null, ""http://example.com/"");"
True,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,698,"assertEquals(1, nodes.size()); // returns <html> node (not document) -- no context means doc gets created"
True,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,699,"assertEquals(""html"", nodes.get(0).nodeName());"
True,src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java,700,"assertEquals(""<html> <head></head> <body> <ol> <li>One</li> </ol> <p>Two</p> </body> </html>"", StringUtil.normaliseWhitespace(nodes.get(0).outerHtml()));"
