is_addition,old_file_path,new_file_path,line_num,content
False,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,64, Set the request proxy to use.
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,64,* Set the proxy to use for this request. Set to <code>null</code> to disable.
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,71,* Set the HTTP proxy to use for this request.
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,72,* @param proxy proxy to use
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,73,"* @return this Connection, for chaining"
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,75,"Connection proxy(String host, int port);"
False,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,422, Get the Proxy for this request
False,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,423, @return the Proxy.
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,427,* Get the proxy used for this request.
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,428,* @return the proxy; <code>null</code> if not enabled.
False,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,428, Update the Proxy for this request.
False,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,429, @param the Proxy
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,433,* Update the proxy for this request.
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,434,* @param proxy the proxy ot use; <code>null</code> to disable.
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,440,* Set the HTTP proxy to use for this request.
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,441,* @param proxy proxy to use
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,442,"* @return this Connection, for chaining"
True,src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java,444,"Request proxy(String host, int port);"
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,13,mport java.net.Proxy;
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,78, Creates a new {@link Connection} to a URL using a Proxy. Use to fetch and parse a HTML page.
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,80, @param url URL to connect to. The protocol must be {@code http} or {@code https}.
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,81, @param proxy Proxy to use.
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,82," @return the connection. You can add data, cookies, and headers; set the user-agent, referrer, method; and then execute."
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,84,"ublic static Connection connect(String url, Proxy proxy) {"
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,85,eturn HttpConnection.connect(url).proxy(proxy);
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,199,"etch a URL, and parse it as HTML. Provided for compatibility; in most cases use {@link #connect(String)} instead."
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,200,p>
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,201,"he encoding character set is determined by the content-type header or http-equiv meta tag, or falls back to {@code UTF-8}."
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,203,param url           URL to fetch (with a GET). The protocol must be {@code http} or {@code https}.
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,204,"param timeoutMillis Connection and read timeout, in milliseconds. If exceeded, IOException is thrown."
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,205,param proxy Proxy to use.
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,206,return The parsed HTML.
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,208,"throws java.net.MalformedURLException if the request URL is not a HTTP or HTTPS URL, or is otherwise malformed"
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,209,throws HttpStatusException if the response is not OK and HTTP response errors are not ignored
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,210,throws UnsupportedMimeTypeException if the response mime type is not supported and those errors are not ignored
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,211,throws java.net.SocketTimeoutException if the connection times out
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,212,throws IOException if a connection or read error occurs
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,214,see #connect(String)
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,216,"ublic static Document parse(URL url, int timeoutMillis, Proxy proxy) throws IOException {"
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,217,onnection con = HttpConnection.connect(url);
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,218,on.timeout(timeoutMillis);
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,219,on.proxy(proxy);
False,src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java,220,eturn con.get();
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,3,mport org.jsoup.Connection;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,4,mport org.jsoup.HttpStatusException;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,5,mport org.jsoup.UnsupportedMimeTypeException;
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,3,import org.jsoup.*;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,12,mport java.net.HttpURLConnection;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,13,mport java.net.MalformedURLException;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,14,mport java.net.Proxy;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,15,mport java.net.URL;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,16,mport java.net.URLEncoder;
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,10,import java.net.*;
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,83,"public Connection proxy(String host, int port) {"
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,84,"req.proxy(host, port);"
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,85,return this;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,359,rivate Proxy proxy;
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,358,private Proxy proxy; // nullable
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,389,"public Request proxy(String host, int port) {"
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,390,"this.proxy = new Proxy(Proxy.Type.HTTP, InetSocketAddress.createUnresolved(host, port));"
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,391,return this;
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,641,ttpURLConnection conn = (HttpURLConnection) req.url().openConnection(
False,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,642,eq.proxy()==null?Proxy.NO_PROXY:req.proxy()
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,645,final HttpURLConnection conn = (HttpURLConnection) (
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,646,req.proxy() == null ?
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,647,req.url().openConnection() :
True,src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java,648,req.url().openConnection(req.proxy())
False,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,20,mport java.net.MalformedURLException;
False,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,21,mport java.net.URL;
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,20,import java.net.*;
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,564,"Proxy tests. Assumes local proxy running on 8888, without system propery set (so that specifying it is required)."
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,567,@Test
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,568,public void fetchViaHttpProxy() throws IOException {
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,569,"String url = ""http://jsoup.org"";"
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,570,"Proxy proxy = new Proxy(Proxy.Type.HTTP, InetSocketAddress.createUnresolved(""localhost"", 8888));"
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,571,Document doc = Jsoup.connect(url).proxy(proxy).get();
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,572,"assertTrue(doc.title().contains(""jsoup""));"
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,575,@Test
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,576,public void fetchViaHttpProxySetByArgument() throws IOException {
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,577,"String url = ""http://jsoup.org"";"
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,578,"Document doc = Jsoup.connect(url).proxy(""localhost"", 8888).get();"
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,579,"assertTrue(doc.title().contains(""jsoup""));"
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,582,@Test
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,583,public void invalidProxyFails() throws IOException {
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,584,boolean caught = false;
True,src/test/java/org/jsoup/integration/UrlConnectTest.java,src/test/java/org/jsoup/integration/UrlConnectTest.java,585,"String url = ""http://jsoup.org"";"
