is_addition,old_file_path,new_file_path,line_num,content
False,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,89," @version $Id: ToStringStyle.java,v 1.27 2003/08/23 00:21:49 ggregory Exp $"
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,89,"* @version $Id: ToStringStyle.java,v 1.28 2003/11/25 00:53:55 ggregory Exp $"
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,109,* The short prefix toString style.
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,111,public static final ToStringStyle SHORT_PREFIX_STYLE = new ShortPrefixToStringStyle();
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2060,* <p><code>ToStringStyle</code> that prints out the short
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2061,* class name and no identity hashcode.</p>
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2063,* <p>This is an inner class rather than using
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2064,* <code>StandardToStringStyle</code> to ensure its immutability.</p>
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2066,private static final class ShortPrefixToStringStyle extends ToStringStyle {
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2069,* <p>Constructor.</p>
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2071,* <p>Use the static constant rather than instantiating.</p>
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2073,private ShortPrefixToStringStyle() {
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2074,super();
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2075,this.setUseShortClassName(true);
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2076,this.setUseIdentityHashCode(false);
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2080,* <p>Ensure <code>Singleton</ode> after serialization.</p>
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2081,* @return the singleton
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2083,private Object readResolve() {
True,src/java/org/apache/commons/lang/builder/ToStringStyle.java,src/java/org/apache/commons/lang/builder/ToStringStyle.java,2084,return ToStringStyle.SHORT_PREFIX_STYLE;
True,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,2,"* The Apache Software License, Version 1.1"
True,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,4,* Copyright (c) 2002-2003 The Apache Software Foundation.  All rights
True,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,5,* reserved.
True,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,7,"* Redistribution and use in source and binary forms, with or without"
True,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,8,"* modification, are permitted provided that the following conditions"
True,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,9,* are met:
True,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,11,* 1. Redistributions of source code must retain the above copyright
True,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,src/test/org/apache/commons/lang/builder/ShortPrefixToStringStyleTest.java,12,"*    notice, this list of conditions and the following disclaimer."
