is_addition,old_file_path,new_file_path,line_num,content
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,2,* Licensed to the Apache Software Foundation (ASF) under one or more
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,3,* contributor license agreements.  See the NOTICE file distributed with
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,4,* this work for additional information regarding copyright ownership.
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,5,"* The ASF licenses this file to You under the Apache License, Version 2.0"
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,6,"* (the ""License""); you may not use this file except in compliance with"
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,7,* the License.  You may obtain a copy of the License at
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,9,*      http://www.apache.org/licenses/LICENSE-2.0
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,11,"* Unless required by applicable law or agreed to in writing, software"
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,12,"* distributed under the License is distributed on an ""AS IS"" BASIS,"
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,13,"* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,14,* See the License for the specific language governing permissions and
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,15,* limitations under the License.
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,17,package org.apache.commons.math.util;
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,19,import java.util.EventObject;
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,22,* The root class from which all events occurring while running an
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,23,* {@link IterationManager} should be derived.
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,25,* @version $Id$
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,27,public class IterationEvent extends EventObject {
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,29,private static final long serialVersionUID = -1405936936084001482L;
True,src/main/java/org/apache/commons/math/util/IterationEvent.java,src/main/java/org/apache/commons/math/util/IterationEvent.java,32,* Creates a new instance of this class.
