is_addition,old_file_path,new_file_path,line_num,content
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,42,/** Initialize step handler at the start of an ODE integration.
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,43,* <p>
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,44,* This method is called once at the start of the integration. It
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,45,* may be used by the step handler to initialize some internal data
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,46,* if needed.
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,47,* </p>
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,48,* @param t0 start value of the independent <i>time</i> variable
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,49,* @param y0 array containing the start value of the state vector
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,50,* @param t target time for the integration
True,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,src/main/java/org/apache/commons/math/ode/sampling/FixedStepHandler.java,52,"void init(double t0, double[] y0, double t);"
True,src/main/java/org/apache/commons/math/ode/sampling/StepNormalizer.java,src/main/java/org/apache/commons/math/ode/sampling/StepNormalizer.java,184,// initialize the underlying handler
True,src/main/java/org/apache/commons/math/ode/sampling/StepNormalizer.java,src/main/java/org/apache/commons/math/ode/sampling/StepNormalizer.java,185,"handler.init(t0, y0, t);"
False,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerOutputTestBase.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerOutputTestBase.java,15,"mplements FirstOrderDifferentialEquations, FixedStepHandler"
True,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerOutputTestBase.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerOutputTestBase.java,15,"implements FirstOrderDifferentialEquations, FixedStepHandler {"
True,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerOutputTestBase.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerOutputTestBase.java,214,/** {@inheritDoc} */
True,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerOutputTestBase.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerOutputTestBase.java,215,"public void init(double t0, double[] y0, double t) {"
False,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,44,rivate boolean firstCall = true;
True,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,44,private boolean firstCall = true;
True,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,45,"public void init(double t0, double[] y0, double t) {"
False,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,72,"ublic void handleStep(double t,"
True,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,74,"public void init(double t0, double[] y0, double t) {"
True,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,src/test/java/org/apache/commons/math/ode/sampling/StepNormalizerTest.java,76,"public void handleStep(double t,"
