is_addition,old_file_path,new_file_path,line_num,content
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,32,/** INDEX of Sum of Squared Errors */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,34,/** INDEX of Sum of Squares of Model */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,36,/** INDEX of R-Squared of regression */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,38,/** INDEX of Mean Squared Error */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,40,/** INDEX of Adjusted R Squared */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,42,/** UID */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,44,/** regression slope parameters */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,46,/** variance covariance matrix of parameters */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,48,/** boolean flag for variance covariance matrix in symm compressed storage */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,50,/** rank of the solution */
True,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,src/main/java/org/apache/commons/math/stat/regression/RegressionResults.java,52,/** number of observations on which results are based */
