is_addition,old_file_path,new_file_path,line_num,content
True,src/main/java/org/apache/commons/math/exception/util/LocalizedFormats.java,src/main/java/org/apache/commons/math/exception/util/LocalizedFormats.java,274,"OUT_OF_RANGE_LEFT(""{0} out of ({1}, {2}] range""),"
True,src/main/java/org/apache/commons/math/exception/util/LocalizedFormats.java,src/main/java/org/apache/commons/math/exception/util/LocalizedFormats.java,275,"OUT_OF_RANGE_RIGHT(""{0} out of [{1}, {2}) range""),"
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,2,* Licensed to the Apache Software Foundation (ASF) under one or more
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,3,* contributor license agreements.  See the NOTICE file distributed with
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,4,* this work for additional information regarding copyright ownership.
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,5,"* The ASF licenses this file to You under the Apache License, Version 2.0"
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,6,"* (the ""License""); you may not use this file except in compliance with"
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,7,* the License.  You may obtain a copy of the License at
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,9,*      http://www.apache.org/licenses/LICENSE-2.0
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,11,"* Unless required by applicable law or agreed to in writing, software"
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,12,"* distributed under the License is distributed on an ""AS IS"" BASIS,"
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,13,"* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,14,* See the License for the specific language governing permissions and
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,15,* limitations under the License.
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,17,package org.apache.commons.math.random;
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,19,import org.apache.commons.math.exception.NullArgumentException;
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,20,import org.apache.commons.math.exception.OutOfRangeException;
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,21,import org.apache.commons.math.exception.util.LocalizedFormats;
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,22,import org.apache.commons.math.util.FastMath;
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,25,* <p>This class provides a stable normalized random generator. It samples from a stable
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,26,* distribution with location parameter 0 and scale 1.</p>
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,28,* <p>The implementation uses the Chambers-Mallows-Stuck method as described in
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,29,* <i>Handbook of computational statistics: concepts and methods</i> by
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,30,"* James E. Gentle, Wolfgang Hrdle, Yuichi Mori.</p>"
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,32,* @version $Id$
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,33,* @since 3.0
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,35,public class StableRandomGenerator implements NormalizedRandomGenerator {
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,36,/** Underlying generator. */
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,37,private final RandomGenerator generator;
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,39,/** stability parameter */
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,40,private final double alpha;
True,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,src/main/java/org/apache/commons/math/random/StableRandomGenerator.java,42,/** skewness parameter */
