is_addition,old_file_path,new_file_path,line_num,content
True,src/java/org/apache/commons/math/estimation/WeightedMeasurement.java,src/java/org/apache/commons/math/estimation/WeightedMeasurement.java,54,/** Serializable version identifier. */
True,src/java/org/apache/commons/math/estimation/WeightedMeasurement.java,src/java/org/apache/commons/math/estimation/WeightedMeasurement.java,55,private static final long serialVersionUID = 4360046376796901941L;
True,src/java/org/apache/commons/math/ode/AbstractIntegrator.java,src/java/org/apache/commons/math/ode/AbstractIntegrator.java,36,/** Serializable version identifier. */
True,src/java/org/apache/commons/math/ode/AbstractIntegrator.java,src/java/org/apache/commons/math/ode/AbstractIntegrator.java,37,private static final long serialVersionUID = 5771479854166853494L;
True,src/java/org/apache/commons/math/ode/nonstiff/AdaptiveStepsizeIntegrator.java,src/java/org/apache/commons/math/ode/nonstiff/AdaptiveStepsizeIntegrator.java,57,/** Serializable version identifier. */
True,src/java/org/apache/commons/math/ode/nonstiff/AdaptiveStepsizeIntegrator.java,src/java/org/apache/commons/math/ode/nonstiff/AdaptiveStepsizeIntegrator.java,58,private static final long serialVersionUID = -6883579828273958419L;
True,src/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,src/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,68,/** Serializable version identifier. */
True,src/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,src/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,69,private static final long serialVersionUID = -8436701741819010959L;
True,src/java/org/apache/commons/math/ode/nonstiff/MultistepIntegrator.java,src/java/org/apache/commons/math/ode/nonstiff/MultistepIntegrator.java,49,/** Serializable version identifier. */
True,src/java/org/apache/commons/math/ode/nonstiff/MultistepIntegrator.java,src/java/org/apache/commons/math/ode/nonstiff/MultistepIntegrator.java,50,private static final long serialVersionUID = -1705864253238417163L;
True,src/java/org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,src/java/org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,57,/** Serializable version identifier. */
True,src/java/org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,src/java/org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,58,private static final long serialVersionUID = -5346558921715095559L;
True,src/java/org/apache/commons/math/random/AbstractRandomGenerator.java,src/java/org/apache/commons/math/random/AbstractRandomGenerator.java,35,/** Serializable version identifier. */
True,src/java/org/apache/commons/math/random/AbstractRandomGenerator.java,src/java/org/apache/commons/math/random/AbstractRandomGenerator.java,36,private static final long serialVersionUID = 7026539017027693474L;
True,src/java/org/apache/commons/math/util/CompositeFormat.java,src/java/org/apache/commons/math/util/CompositeFormat.java,33,/** Serializable version identifier. */
True,src/java/org/apache/commons/math/util/CompositeFormat.java,src/java/org/apache/commons/math/util/CompositeFormat.java,34,private static final long serialVersionUID = 5358685519349262494L;
True,src/test/org/apache/commons/math/ode/nonstiff/TestProblemAbstract.java,src/test/org/apache/commons/math/ode/nonstiff/TestProblemAbstract.java,30,/** Serializable version identifier. */
True,src/test/org/apache/commons/math/ode/nonstiff/TestProblemAbstract.java,src/test/org/apache/commons/math/ode/nonstiff/TestProblemAbstract.java,31,private static final long serialVersionUID = -8521928974502839379L;
