is_addition,old_file_path,new_file_path,line_num,content
False,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,7,mport java.util.Collection;
False,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,8,mport java.util.List;
False,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,9,mport java.util.Map;
False,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,10,mport java.util.Set;
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,14,import java.util.Collection;
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,15,import java.util.List;
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,16,import java.util.Map;
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,17,import java.util.Set;
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,540,* null argument.
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,541,* The class argument is provided to avoid casting.
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,542,* <p>
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,543,* See examples in javadoc for {@link Matchers} class
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,545,* @return <code>null</code>.
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,547,public static <T> T isNull(Class<T> clazz) {
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,548,return (T) reportMatcher(Null.NULL).returnNull();
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,565,"* not null argument, not necessary of the given class."
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,566,* The class argument is provided to avoid casting.
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,567,* <p>
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,568,* alias to {@link Matchers#isNotNull(Class)}
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,569,* <p>
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,570,* See examples in javadoc for {@link Matchers} class
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,572,* @return <code>null</code>.
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,574,public static <T> T notNull(Class<T> clazz) {
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,575,return (T) reportMatcher(NotNull.NOT_NULL).returnNull();
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,592,"* not null argument, not necessary of the given class."
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,593,* The class argument is provided to avoid casting.
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,594,* <p>
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,595,* alias to {@link Matchers#notNull(Class)}
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,596,* <p>
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,597,* See examples in javadoc for {@link Matchers} class
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,599,* @return <code>null</code>.
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,601,public static <T> T isNotNull(Class<T> clazz) {
True,src/org/mockito/Matchers.java,src/org/mockito/Matchers.java,602,return notNull(clazz);
False,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,7,mport static org.mockito.Matchers.*;
False,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,8,mport static org.mockito.Mockito.*;
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,7,import org.junit.Test;
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,8,import org.mockito.Mock;
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,9,import org.mockitousage.IMethods;
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,10,import org.mockitoutil.TestBase;
False,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,15,mport org.junit.Test;
False,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,16,mport org.mockito.Mock;
False,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,17,mport org.mockitousage.IMethods;
False,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,18,mport org.mockitoutil.TestBase;
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,17,import static org.mockito.Matchers.*;
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,18,import static org.mockito.Mockito.verify;
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,19,import static org.mockito.Mockito.when;
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,71,@Test
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,72,public void shouldHelpOutWithUnnecessaryCastingOfNullityChecks() {
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,73,"when(mock.objectArgMethod(isNull(LinkedList.class))).thenReturn(""string"");"
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,74,"when(mock.objectArgMethod(notNull(LinkedList.class))).thenReturn(""string"");"
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,75,"when(mock.objectArgMethod(isNotNull(LinkedList.class))).thenReturn(""string"");"
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,77,"assertEquals(""string"", mock.objectArgMethod(null));"
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,78,"assertEquals(""string"", mock.objectArgMethod(""foo""));"
True,test/org/mockitousage/matchers/MoreMatchersTest.java,test/org/mockitousage/matchers/MoreMatchersTest.java,79,"assertEquals(""string"", mock.objectArgMethod(""foo""));"
