is_addition,old_file_path,new_file_path,line_num,content
True,src/org/mockito/internal/util/MockUtil.java,src/org/mockito/internal/util/MockUtil.java,30,if (optionalInstance != null) {
True,src/org/mockito/internal/util/MockUtil.java,src/org/mockito/internal/util/MockUtil.java,31,try {
True,src/org/mockito/internal/util/MockUtil.java,src/org/mockito/internal/util/MockUtil.java,32,"new ShallowCopyTool().copy(optionalInstance, mock);"
True,src/org/mockito/internal/util/MockUtil.java,src/org/mockito/internal/util/MockUtil.java,33,} catch (UnableToCopyFieldValue e) {
True,src/org/mockito/internal/util/MockUtil.java,src/org/mockito/internal/util/MockUtil.java,34,//Ignore - spying should be used only occasionally and if some field cannot be copied then let's be it
True,src/org/mockito/internal/util/MockUtil.java,src/org/mockito/internal/util/MockUtil.java,38,//TODO: does it make sense to set instance?
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,1,package org.mockito.internal.util;
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,3,import java.lang.reflect.Field;
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,5,public class ShallowCopyTool {
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,7,"public <T> void copy(T from, T to) throws UnableToCopyFieldValue {"
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,8,Field[] fieldsFrom = from.getClass().getDeclaredFields();
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,9,Field[] fieldsTo = to.getClass().getDeclaredFields();
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,10,"assert fieldsFrom.length == fieldsTo.length : ""Objects should be of the same type"";"
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,12,for (int i = 0; i < fieldsFrom.length; i++) {
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,13,try {
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,14,fieldsFrom[i].setAccessible(true);
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,15,fieldsTo[i].setAccessible(true);
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,16,Object value = fieldsFrom[i].get(from);
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,17,"fieldsTo[i].set(to, value);"
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,18,} catch (Throwable t) {
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,19,throw new UnableToCopyFieldValue(
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,20,"""Unable to copy value from field: "" + fieldsFrom[i] +"
True,src/org/mockito/internal/util/ShallowCopyTool.java,src/org/mockito/internal/util/ShallowCopyTool.java,21,""" to field: "" + fieldsTo[i], t);"
