is_addition,old_file_path,new_file_path,line_num,content
False,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,16,lass clazz = from.getClass();
False,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,17,lass mockSuperClass = mock.getClass().getSuperclass();
False,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,18,ssert mockSuperClass == clazz
False,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,19," ""Classes must have the same type: class of the object from: "" + clazz + "", mock super class: "" + mockSuperClass;"
False,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,21,hile (clazz != Object.class) {
False,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,22,"opyValues(from, mock, clazz);"
False,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,23,lazz = clazz.getSuperclass();
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,16,"copy(from, mock, from.getClass(), mock.getClass().getSuperclass());"
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,19,"public <T> void copyToRealObject(T from, T to) {"
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,20,"copy(from, to, from.getClass(), to.getClass());"
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,23,"private <T> void copy(T from, T to, Class fromClazz, Class toClass) {"
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,24,assert toClass == fromClazz
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,25,": ""Classes must have the same type: class of the object from: "" + fromClazz + "", mock super class: "" + toClass;"
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,27,while (fromClazz != Object.class) {
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,28,"copyValues(from, to, fromClazz);"
True,src/org/mockito/internal/util/reflection/LenientCopyTool.java,src/org/mockito/internal/util/reflection/LenientCopyTool.java,29,fromClazz = fromClazz.getSuperclass();
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,1,package org.mockito.stubbing;
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,3,import org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues;
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,4,import org.mockito.internal.util.reflection.LenientCopyTool;
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,5,import org.mockito.invocation.InvocationOnMock;
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,6,import org.objenesis.ObjenesisHelper;
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,8,public class ClonesArguments implements Answer<Object> {
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,9,public Object answer(InvocationOnMock invocation) throws Throwable {
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,10,Object[] arguments = invocation.getArguments();
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,11,for (int i = 0; i < arguments.length; i++) {
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,12,Object from = arguments[i];
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,13,Object newInstance = ObjenesisHelper.newInstance(from.getClass());
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,14,"new LenientCopyTool().copyToRealObject(from, newInstance);"
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,15,arguments[i] = newInstance;
True,src/org/mockito/stubbing/ClonesArguments.java,src/org/mockito/stubbing/ClonesArguments.java,17,return new ReturnsEmptyValues().answer(invocation);
False,test/org/mockito/internal/util/reflection/LenientCopyToolTest.java,test/org/mockito/internal/util/reflection/LenientCopyToolTest.java,27,"SuppressWarnings(""unused"")"
False,test/org/mockito/internal/util/reflection/LenientCopyToolTest.java,test/org/mockito/internal/util/reflection/LenientCopyToolTest.java,28,/ required because static fields needs to be excluded from copying
True,test/org/mockito/internal/util/reflection/LenientCopyToolTest.java,test/org/mockito/internal/util/reflection/LenientCopyToolTest.java,27,"@SuppressWarnings(""unused"")"
