is_addition,old_file_path,new_file_path,line_num,content
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,1,package org.mockito.release.notes.exec;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,3,import org.mockito.release.notes.util.ReleaseNotesException;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,4,import org.slf4j.Logger;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,5,import org.slf4j.LoggerFactory;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,7,import java.io.*;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,8,import java.util.Arrays;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,10,class DefaultProcessRunner implements ProcessRunner {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,12,private static Logger LOG = LoggerFactory.getLogger(DefaultProcessRunner.class);
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,13,private final File workDir;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,15,DefaultProcessRunner(File workDir) {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,16,this.workDir = workDir;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,19,public String run(String... commandLine) {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,20,"LOG.info(""Executing command: {}"", (Object) commandLine);"
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,22,try {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,23,Process process = new ProcessBuilder(commandLine).directory(workDir).redirectErrorStream(true).start();
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,24,return readFully(new BufferedReader(new InputStreamReader(process.getInputStream())));
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,25,} catch (Exception e) {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,26,"throw new ReleaseNotesException(""Problems executing command: "" + Arrays.toString(commandLine), e);"
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,30,private static String readFully(BufferedReader reader) throws IOException {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,31,try {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,32,StringBuilder sb = new StringBuilder();
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,33,String line;
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,34,while((line = reader.readLine()) != null) {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,35,"sb.append(line).append(""\n"");"
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,37,return sb.toString();
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,38,} finally {
True,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,39,reader.close();
