is_addition,old_file_path,new_file_path,line_num,content
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,107,public void testFormatOneField() {
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,108,Period p = Period.days(2);
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,109,"assertEquals(""2 days"", PeriodFormat.getDefault().print(p));"
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,113,public void testFormatTwoFields() {
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,114,Period p = Period.days(2).withHours(5);
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,115,"assertEquals(""2 days and 5 hours"", PeriodFormat.getDefault().print(p));"
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,119,public void testParseOneField() {
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,120,Period p = Period.days(2);
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,121,"assertEquals(p, PeriodFormat.getDefault().parsePeriod(""2 days""));"
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,125,public void testParseTwoFields() {
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,126,Period p = Period.days(2).withHours(5);
True,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,JodaTime/src/test/org/joda/time/format/TestPeriodFormat.java,127,"assertEquals(p, PeriodFormat.getDefault().parsePeriod(""2 days and 5 hours""));"
